# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 111, mean track length: 2
89 6.7395489083210895 2.7842036722174779 35.755344890514699 250 227 186 0.18089550202155971 274 470 285 477
90 9.3415235435003439 4.2623990893412333 33.407443130336752 245 219 124 0.10158430792396544 274 472 285 484
91 13.580144260940378 -0.88348695852282655 33.087883856858255 6 7 10 0.14314775464750196 274 482 285 492
92 13.580144260940378 -0.88348695852282655 33.087883856858255 6 7 10 0.14314775464750196 274 483 285 493
93 13.260918606311963 -0.20243554794533825 33.028817424028396 23 23 25 0.19245529384425081 274 484 285 494
94 13.260918606311963 -0.20243554794533825 33.028817424028396 23 23 25 0.19245529384425081 274 485 285 495
95 14.305387142381935 0.56271741417438692 32.982755476896351 175 157 152 0.45963016030475118 274 486 285 496
96 11.982197600031881 1.1703476105839783 34.535114151006823 141 157 180 1.0159892997753603 274 491 285 498
97 5.703237821162821 1.4826200183153284 36.354218611221434 26 27 31 0.35196963342924975 274 494 285 499
98 6.1662964354785892 3.1617998096217468 35.622838019609659 57 57 55 0.01042352921917495 274 498 285 503
111 11.229987072636778 5.416846693652678 32.622881328233639 246 229 228 0.58822421842071793 274 545 285 560
110 9.909323359728532 4.5817135402046123 33.143591417113548 31 25 11 0.32948939490235862 274 544 285 556
109 6.8390480332413164 9.1650521654023329 31.423181310498872 0 0 0 1.3792725204086822 274 538 285 562
108 10.139105272277991 3.1408222036343432 34.001064444198384 242 227 208 0.71007003515674683 274 531 285 554
107 10.139105272277991 3.1408222036343432 34.001064444198384 242 227 208 0.71007003515674683 274 530 285 553
106 13.807355346399305 0.81014759866350916 33.188232031661776 255 255 246 0.59509811286016168 274 524 285 538
105 11.397403314359334 5.0530880708396708 32.847094208161444 243 227 237 0.37569626001248008 274 518 285 534
104 12.280884191837856 4.2419551632485915 33.406675563767109 3 7 6 0.19475406065772993 274 517 285 532
103 2.8485683700100903 5.946702439974584 26.748315187848984 231 155 53 0.35679512439624617 274 512 285 525
102 2.0234587136127411 2.5541012684156765 26.495777008651174 239 214 173 1.3828830660281115 274 508 285 331
101 12.725190042700826 1.1547687333023835 33.430502187890859 16 14 17 1.8554926925732431 274 507 285 530
100 12.725190042700826 1.1547687333023835 33.430502187890859 16 14 17 1.8554926925732431 274 506 285 529
99 11.803045026238228 3.8141653893485907 33.725457774789639 241 235 222 0.54337481316711711 274 500 285 520
82 9.3185169724138639 3.8383585238050064 34.770309885052939 44 39 45 0.05386815370478451 274 445 285 449
23 15.86854375409348 5.4169206257741926 32.839239817093251 98 95 88 0.46979135173702224 274 131 285 144
81 12.577103502814722 1.4220849836644147 33.788797134416022 7 1 7 0.36181656608789714 274 441 285 470
80 13.622812815146812 -0.35376379545447106 33.041902163473523 242 204 148 0.047486386216943691 274 440 285 406
79 8.9074811248746286 6.6032373590639857 31.456241362847368 195 120 25 0.079134472327332978 274 436 285 459
78 15.771923854491604 5.9417377629976036 32.964209498154808 23 11 1 0.64287506732939093 274 435 285 431
77 5.0856151572455879 5.3814391847071779 33.168837147770049 42 46 48 0.22135536532827838 274 434 285 429
76 6.3130508550059634 4.8210126927287744 33.679180644980704 59 63 76 0.31641228129361454 274 432 285 454
75 5.7598175021129361 4.6642671014630679 33.832225138417435 41 38 51 0.0044893838311793341 274 431 285 427
74 5.2791183996151778 4.5641244015617248 33.898011425693042 60 59 67 0.24436401617811845 274 430 285 425
73 8.4448926571772773 4.1677493469600311 34.533450817824146 236 197 44 0.25911535198253977 274 427 285 423
72 13.577856340497767 1.1468371553864103 33.403627042951676 187 148 102 0.10842588641197236 274 419 285 409
71 15.743257109532044 5.526918626125588 32.886930736839496 15 12 11 0.55895511808225784 274 404 285 392
70 5.6318369834682764 5.5099940682118946 32.934563763271882 31 35 41 0.098359367458458927 274 402 285 394
69 6.9651472114424768 4.5528736601108255 33.450860578904738 244 195 91 0.27878924842922637 274 399 285 426
68 17.259143143957814 3.6888960827870809 32.251926861578163 112 35 0 0.052178494354024565 274 397 285 236
67 7.6116252664607051 3.6891508260630808 35.110928609710989 255 250 157 0.39484986455799886 274 394 285 383
66 12.564119670994181 1.292741693075081 33.943826365466407 3 4 6 0.232226228506766 274 387 285 375
65 2.6530187139988697 6.1174645557819876 26.875134104925436 211 149 76 0.25824443965580202 274 369 285 354
64 15.955598839141761 5.3024106629025347 32.811469357365858 11 7 3 0.54301828706832689 274 362 285 347
63 10.671633521668223 5.2336515613000154 33.100403226772279 216 135 50 0.20715240469950064 274 360 285 139
62 5.3763831665868915 4.9134586300309451 33.504825337910404 26 35 51 0.0046264407652332126 274 355 285 342
61 11.987495670567686 3.9817616981084947 33.393376618603106 253 230 200 0.32986561262562974 274 352 285 244
60 10.252419175309118 3.8349275365506101 33.069090209656281 184 223 252 0.51292830603074546 274 351 285 336
